"COM";"LIBELLE"
"01059";"Brénaz"
"01091";"Châtillon-en-Michaille"
"01097";"Chavornay"
"01119";"Corcelles"
"01120";"Cordieux"
"01122";"Cormaranche-en-Bugey"
"01137";"Cuisiat"
"01144";"Dommartin"
"01154";"Étrez"
"01172";"Germagnat"
"01182";"Groslée"
"01186";"Hostiaz"
"01205";"Lancrans"
"01218";"Lochieu"
"01221";"Lompnieu"
"01271";"Nattages"
"01300";"Le Poizat"
"01312";"Pressiat"
"01324";"Rignat"
"01340";"Saint-Bois"
"01413";"Surjoux"
"01414";"Sutrieu"
"01417";"Thézillieu"
"01442";"Vieu"
"02026";"Artonges"
"02147";"La Celle-sous-Montmirail"
"02161";"La Chapelle-Monthodon"
"02285";"Escaufourt"
"02300";"Fargniers"
"02301";"Faucoucourt"
"02325";"Fontenelle-en-Brie"
"02348";"Glennes"
"02434";"Lizy"
"02475";"Menneville"
"02479";"Merval"
"02597";"Perles"
"02630";"Quessy"
"02646";"Révillon"
"02669";"Saint-Agnan"
"02695";"Saint-Thibaut"
"02733";"Suzy"
"02771";"Vauxcéré"
"02811";"Villers-en-Prayères"
"02825";"Vouël"
"03123";"Givarlais"
"03153";"Louroux-Hodement"
"03318";"Vitray"
"04003";"Albiosc"
"04010";"Argens"
"04011";"Astoin"
"04029";"Blégiers"
"04052";"Châteauneuf-lès-Moustiers"
"04082";"Esparron-la-Bâtie"
"04100";"Larche"
"04105";"Lincel"
"04131";"Montpezat"
"04153";"Le Poil"
"04165";"Reynier"
"04198";"Saint-Vincent-les-Forts"
"05005";"Antonaves"
"05020";"Bénévent-et-Charbillac"
"05034";"Châteauneuf-de-Chabre"
"05067";"Les Infournas"
"05088";"Montmorin"
"05120";"Ristolas"
"05125";"Romette"
"05150";"Sainte-Marie"
"07016";"Asperjoc"
"07043";"Brahic"
"07046";"Casteljau"
"07057";"Chassagnes"
"07135";"Laval-d'Aurelle"
"07164";"Naves"
"07246";"Saint-Jean-de-Pourcharesse"
"07256";"Saint-Julien-Labrousse"
"08009";"Amblimont"
"08012";"Andevanne"
"08042";"Balaives-et-Butz"
"08050";"Barricourt"
"08051";"Bay"
"08068";"Blaise"
"08072";"Bosseval-et-Briancourt"
"08079";"Boutancourt"
"08112";"Châtillon-sur-Bar"
"08114";"Chéhéry"
"08152";"Élan"
"08177";"Foulzy"
"08213";"La Hardoye"
"08258";"Logny-lès-Chaumont"
"08265";"Mainbresson"
"08266";"Mainbressy"
"08267";"Mairy"
"08285";"Meillier-Fontaine"
"08337";"Pargny-Resson"
"08345";"Primat"
"08359";"Rémonville"
"08371";"Rubécourt-et-Lamécourt"
"08443";"Terron-sur-Aisne"
"08475";"Villers-Cernay"
"08493";"Vrizy"
"08495";"Wadimont"
"09028";"Aulos"
"09036";"Banat"
"09135";"Goulier"
"09286";"Sem"
"09302";"Suc-et-Sentenac"
"09304";"Suzan"
"09317";"Uchentein"
"10036";"Beauvoir-sur-Sarce"
"10277";"Palis"
"10311";"Quincey"
"10415";"Villemaur-sur-Vanne"
"11050";"Brenac"
"11097";"Conilhac-de-la-Montagne"
"11171";"Gueytes-et-Labastide"
"11298";"Pradelles-en-Val"
"11329";"Rouvenac"
"11349";"Saint-Just-de-Bélengard"
"12014";"Aurelle-Verlac"
"12040";"Buzeins"
"12081";"Coussergues"
"12087";"Cruéjouls"
"12114";"Grand-Vabre"
"12123";"Lapanouse"
"12126";"Lavernhe"
"12132";"Loupiac"
"12173";"Noailhac"
"12196";"Recoules-Prévinquières"
"12218";"Saint-Cyprien-sur-Dourdou"
"12245";"Saint-Salvadou"
"12271";"Sévérac-l'Église"
"12285";"Vabre-Tizac"
"13055";"Marseille"
"14002";"Acqueville"
"14004";"Aignerville"
"14013";"Angoville"
"14028";"Auquainville"
"14029";"Les Autels-Saint-Bazile"
"14031";"Les Authieux-Papion"
"14051";"Beaufour"
"14052";"Beaulieu"
"14056";"Bauquay"
"14058";"Bellou"
"14065";"Bernières-le-Patry"
"14073";"La Bigne"
"14074";"Billy"
"14081";"Boissey"
"14099";"Bretteville-sur-Dives"
"14105";"La Brévière"
"14109";"Brouay"
"14112";"Bully"
"14113";"Burcy"
"14114";"Bures-sur-Dives"
"14115";"Bures-les-Monts"
"14128";"Campandré-Valcongrain"
"14129";"Campeaux"
"14139";"Carville"
"14142";"Castilly"
"14144";"Caumont-sur-Orne"
"14148";"Cerqueux"
"14151";"Champ-du-Boult"
"14152";"La Chapelle-Engerbold"
"14153";"La Chapelle-Haute-Grue"
"14154";"La Chapelle-Yvon"
"14155";"Cheffreville-Tonnencourt"
"14156";"Chênedollé"
"14157";"Cheux"
"14158";"Chicheboville"
"14164";"Clinchamps-sur-Orne"
"14176";"Conteville"
"14187";"Coulonces"
"14188";"Coulvain"
"14189";"Coupesarte"
"14192";"Courson"
"14201";"Crèvecour-en-Auge"
"14208";"Croissanville"
"14210";"La Croupte"
"14213";"Curcy-sur-Orne"
"14217";"Dampierre"
"14219";"Danvou-la-Ferrière"
"14222";"Le Désert"
"14235";"Écrammeville"
"14247";"Escures-sur-Favières"
"14253";"Estry"
"14255";"Étouvy"
"14259";"Familly"
"14264";"La Ferrière-Harang"
"14265";"Fervaques"
"14267";"Feuguerolles-sur-Seulles"
"14268";"Fierville-Bray"
"14279";"Fontenermont"
"14294";"Garcelles-Secqueville"
"14296";"Le Gast"
"14313";"Grandchamp-le-Château"
"14317";"La Graverie"
"14321";"Grisy"
"14324";"Hamars"
"14330";"Heurtevent"
"14331";"Hiéville"
"14339";"Hubert-Folie"
"14340";"Huppain"
"14350";"La Lande-sur-Drôme"
"14356";"Lasson"
"14359";"Lécaude"
"14361";"Lénault"
"14372";"Livry"
"14373";"Le Locheur"
"14376";"Longraye"
"14382";"Louvières"
"14386";"Magny-la-Campagne"
"14387";"Magny-le-Freule"
"14388";"Maisoncelles-la-Jourdan"
"14395";"Malloué"
"14413";"Le Mesnil-Auzouf"
"14414";"Le Mesnil-Bacley"
"14415";"Le Mesnil-Benoist"
"14416";"Le Mesnil-Caussois"
"14417";"Mesnil-Clinchamps"
"14418";"Le Mesnil-Durand"
"14420";"Le Mesnil-Germain"
"14422";"Le Mesnil-Mauger"
"14423";"Le Mesnil-Patry"
"14429";"Meulles"
"14432";"Missy"
"14433";"Mittois"
"14440";"Montamy"
"14441";"Mont-Bertrand"
"14442";"Montchamp"
"14443";"Montchauvet"
"14444";"Monteille"
"14450";"Montviette"
"14459";"Les Moutiers-Hubert"
"14462";"Neuilly-la-Forêt"
"14471";"Notre-Dame-de-Courson"
"14472";"L'Oudon"
"14477";"Ondefontaine"
"14479";"Orbois"
"14481";"Les Oubeaux"
"14489";"Ouville-la-Bien-Tournée"
"14493";"Percy-en-Auge"
"14503";"Pierres"
"14505";"Placy"
"14508";"Le Plessis-Grimoult"
"14517";"Poussy-la-Campagne"
"14518";"Préaux-Saint-Sébastien"
"14521";"Presles"
"14523";"Proussy"
"14525";"Putot-en-Bessin"
"14532";"Le Reculey"
"14537";"Robehomme"
"14539";"La Rocque"
"14544";"Roucamps"
"14545";"Roullours"
"14549";"Rully"
"14551";"Russy"
"14560";"Saint-Aubin-Lébizay"
"14564";"Saint-Charles-de-Percy"
"14568";"Sainte-Croix-Grand-Tonne"
"14573";"Saint-Denis-Maisoncelles"
"14580";"Saint-Georges-en-Auge"
"14581";"Saint-Germain-d'Ectot"
"14583";"Saint-Germain-de-Montgommery"
"14584";"Saint-Germain-de-Tallevende-la-Lande-Vaumont"
"14585";"Saint-Germain-du-Crioult"
"14596";"Saint-Jean-des-Essartiers"
"14597";"Saint-Jean-le-Blanc"
"14599";"Saint-Julien-de-Mailloc"
"14600";"Saint-Julien-le-Faucon"
"14608";"Saint-Loup-de-Fribois"
"14611";"Saint-Manvieu-Bocage"
"14615";"Sainte-Marguerite-des-Loges"
"14616";"Sainte-Marguerite-de-Viette"
"14618";"Sainte-Marie-Laumont"
"14628";"Saint-Martin-de-Sallen"
"14629";"Saint-Martin-des-Besaces"
"14632";"Saint-Martin-Don"
"14633";"Saint-Martin-du-Mesnil-Oury"
"14634";"Saint-Michel-de-Livet"
"14636";"Saint-Ouen-des-Besaces"
"14638";"Saint-Ouen-le-Houx"
"14642";"Saint-Paul-de-Courtonne"
"14647";"Saint-Pierre-de-Mailloc"
"14653";"Saint-Pierre-la-Vieille"
"14655";"Saint-Pierre-Tarentaine"
"14662";"Saint-Vigor-des-Mézerets"
"14670";"Secqueville-en-Bessin"
"14671";"Sept-Frères"
"14673";"Sermentot"
"14683";"Tailleville"
"14686";"Le Theil-Bocage"
"14688";"Thiéville"
"14691";"Tilly-la-Campagne"
"14693";"Tordouet"
"14695";"Torteval-Quesnay"
"14696";"Tortisambert"
"14702";"Tournay-sur-Odon"
"14703";"Tournebu"
"14704";"Le Tourneur"
"14717";"Truttemer-le-Grand"
"14718";"Truttemer-le-Petit"
"14722";"La Vacquerie"
"14725";"Vasouy"
"14727";"Vaubadon"
"14729";"Vaudeloges"
"14730";"Vaudry"
"14746";"Viessoix"
"14749";"Vieux-Fumé"
"14750";"Vieux-Pont-en-Auge"
"14763";"Vouilly"
"15031";"Celles"
"15035";"Chalinargues"
"15044";"Chastel-sur-Murat"
"15047";"Chavagnac"
"15062";"Drignac"
"15068";"Faverolles"
"15071";"Fournoulès"
"15099";"Lavastrie"
"15109";"Loupiac"
"15115";"Marchal"
"15136";"Mourjou"
"15145";"Oradour"
"15150";"Pers"
"15171";"Sainte-Anastasie"
"15177";"Saint-Christophe-les-Gorges"
"15195";"Saint-Just"
"15197";"Saint-Marc"
"15210";"Saint-Rémy-de-Salers"
"15227";"Sériers"
"15239";"Tourniac"
"16010";"Ambleville"
"16017";"Anville"
"16051";"Bonneville"
"16092";"Chavenat"
"16126";"Embourie"
"16129";"Éraville"
"16149";"Genouillac"
"16156";"Gourville"
"16172";"Juillaguet"
"16179";"Lamérac"
"16202";"Mainxe"
"16214";"Mazières"
"16228";"Montigné"
"16247";"Nonaville"
"16259";"La Péruse"
"16262";"Plaizac"
"16278";"Richemont"
"16313";"Saint-Estèphe"
"16322";"Saint-Germain-de-Confolens"
"16327";"Saint-Hilaire"
"16344";"Saint-Projet-Saint-Constant"
"16351";"Saint-Simeux"
"16371";"Sonneville"
"16376";"Suris"
"16386";"Touzac"
"16391";"Tuzie"
"16410";"Villegats"
"16411";"Villejésus"
"16417";"Viville"
"17001";"Agonnay"
"17040";"La Benâte"
"17090";"Chardes"
"17123";"Coulonge-sur-Charente"
"17144";"Ébéon"
"17169";"La Frédière"
"17189";"Hiers-Brouage"
"17272";"Péré"
"17456";"Vallet"
"19032";"Brivezac"
"19127";"Marc-la-Tour"
"19183";"Saint-Bazile-de-la-Roche"
"19185";"Saint-Bonnet-Avalouze"
"19197";"Saint-Dézery"
"19267";"La Tourette"
"19282";"Venarsal"
"21073";"Bierre-lès-Semur"
"21213";"Crimolois"
"21443";"Mornay"
"21453";"Neuvelle-lès-Grancey"
"21486";"Pluvault"
"21507";"Premières"
"21621";"Tart-l'Abbaye"
"21697";"La Villeneuve-sur-Vingeanne"
"22007";"Binic"
"22038";"Châtelaudren"
"22051";"Dolo"
"22058";"La Ferrière"
"22066";"Le Gouray"
"22078";"Hengoat"
"22080";"L'Hermitage-Lorge"
"22100";"Langast"
"22102";"Langourla"
"22123";"Léhon"
"22151";"Meslin"
"22154";"Morieux"
"22167";"Perret"
"22173";"Planguenoual"
"22191";"Plessala"
"22192";"Plessix-Balisson"
"22247";"Pommerit-Jaudy"
"22253";"Pouldouran"
"22290";"Saint-Gelven"
"22292";"Saint-Gilles-du-Mené"
"22297";"Saint-Gouéno"
"22298";"Saint-Guen"
"22303";"Saint-Jacut-du-Mené"
"22357";"Trégon"
"23094";"Gouzougnat"
"23126";"Masbaraud-Mérignat"
"23153";"Pigerolles"
"23161";"Rimondeix"
"24013";"Atur"
"24033";"Beaussac"
"24044";"Blis-et-Born"
"24047";"La Boissière-d'Ans"
"24065";"Breuilh"
"24072";"Cadouin"
"24079";"Cantillac"
"24089";"Cazoulès"
"24092";"Cendrieux"
"24093";"Cercles"
"24099";"Champeaux-et-la-Chapelle-Pommier"
"24103";"Le Change"
"24112";"La Chapelle-Péchaud"
"24118";"Chenaud"
"24127";"Coly"
"24166";"Eyliac"
"24170";"Eyvirat"
"24198";"La Gonterie-Boulouneix"
"24201";"Grand-Castang"
"24203";"Les Graulges"
"24204";"Grèzes"
"24219";"Labouquerie"
"24233";"Laveyssière"
"24235";"Léguillac-de-Cercles"
"24239";"Ligueux"
"24249";"Manaurie"
"24258";"Marsaneix"
"24270";"Milhac-d'Auberoche"
"24283";"Monsec"
"24310";"Nojals-et-Clotte"
"24314";"Orliaguet"
"24315";"Paleyrac"
"24333";"Ponteyraud"
"24343";"Puymangou"
"24344";"Puyrenier"
"24363";"Saint-Amand-de-Belvès"
"24369";"Saint-Antoine-d'Auberoche"
"24387";"Saint-Cernin-de-Reillac"
"24389";"Saint-Cirq"
"24391";"Saint-Crépin-de-Richemont"
"24402";"Sainte-Eulalie-d'Eymet"
"24427";"Saint-Jean-d'Eyraud"
"24431";"Saint-Julien-de-Crempse"
"24433";"Saint-Julien-d'Eymet"
"24435";"Saint-Laurent-des-Bâtons"
"24439";"Saint-Laurent-sur-Manoire"
"24447";"Sainte-Marie-de-Chignac"
"24467";"Saint-Michel-de-Rivière"
"24469";"Saint-Michel-l'Écluse-et-Léparon"
"24475";"Saint-Pantaly-d'Ans"
"24497";"Sainte-Sabine-Born"
"24503";"Saint-Sulpice-de-Mareuil"
"24530";"Sencenac-Puy-de-Fourches"
"24561";"Valeuil"
"24579";"Vieux-Mareuil"
"25010";"Alaise"
"25034";"Auxon-Dessous"
"25064";"Blanchefontaine"
"25076";"Bonnevaux-le-Prieuré"
"25140";"Chaux-lès-Clerval"
"25144";"Chazelot"
"25146";"Chazoy"
"25165";"Cordiron"
"25167";"Cottier"
"25168";"Coulans-sur-Lizon"
"25205";"Doulaize"
"25272";"Glainans"
"25291";"Granges-de-Vienney"
"25337";"Lièvremont"
"25353";"Lusans"
"25358";"Maisières-Notre-Dame"
"25363";"Mambouhans"
"25396";"Montferney"
"25407";"Montursin"
"25409";"Morchamps"
"25484";"Refranche"
"25509";"Routelle"
"25543";"Servigney"
"25568";"Tournedoz"
"25581";"Valentin"
"25606";"Vernois-le-Fol"
"26184";"Miribel"
"26187";"Molières-Glandaz"
"26297";"Saint-Bonnet-de-Valclérieux"
"26354";"Treschenu-Creyers"
"26366";"Veaunes"
"27007";"Ajou"
"27024";"Le Roncenay-Authenay"
"27041";"La Barre-en-Ouche"
"27058";"Les Trois Lacs"
"27060";"Berthenonville"
"27088";"Bosc-Renoult-en-Ouche"
"27092";"Bosguérard-de-Marcouville"
"27093";"Bosnormand"
"27121";"Bus-Saint-Rémy"
"27122";"Cahaignes"
"27128";"Cantiers"
"27131";"Carsix"
"27143";"Champignolles"
"27159";"Cintray"
"27160";"Civières"
"27166";"Condé-sur-Iton"
"27175";"Corny"
"27195";"Dame-Marie"
"27197";"Dampsmesnil"
"27211";"Écardenville-sur-Eure"
"27221";"Épinay"
"27250";"Fontaine-Heudebourg"
"27253";"Fontaine-la-Soret"
"27255";"Fontenay-en-Vexin"
"27257";"Forêt-la-Folie"
"27262";"Fourges"
"27264";"Fours-en-Vexin"
"27265";"Francheville"
"27270";"Fresne-l'Archevêque"
"27274";"Gaillardbois-Cressenville"
"27283";"Gisay-la-Coudre"
"27292";"Gouttières"
"27293";"Gouville"
"27296";"Granchain"
"27297";"Grandvilliers"
"27305";"La Guéroulde"
"27308";"Guitry"
"27344";"Houlbec-près-le-Gros-Theil"
"27356";"Jonquerets-de-Livet"
"27362";"Landepéreuse"
"27387";"Manthelon"
"27416";"Buis-sur-Damville"
"27449";"Panilleuse"
"27452";"Perriers-la-Campagne"
"27479";"Provemont"
"27484";"Quessigny"
"27491";"Roman"
"27499";"La Roussière"
"27503";"Le Sacq"
"27506";"Saint-Amand-des-Hautes-Terres"
"27510";"Saint-Aquilin-de-Pacy"
"27513";"Saint-Aubin-des-Hayes"
"27515";"Saint-Aubin-le-Guichard"
"27519";"Sainte-Barbe-sur-Gaillon"
"27523";"Saint-Clair-d'Arcey"
"27526";"Sainte-Croix-sur-Aizier"
"27566";"Sainte-Marguerite-en-Ouche"
"27573";"Saint-Nicolas-d'Attez"
"27581";"Saint-Ouen-des-Champs"
"27596";"Saint-Pierre-du-Mesnil"
"27600";"Saint-Quentin-des-Isles"
"27607";"Saint-Thurien"
"27628";"Thevray"
"27648";"Tostes"
"27651";"Tournedos-sur-Seine"
"27653";"Tourny"
"27687";"Vieux-Villez"
"28002";"Allaines-Mervilliers"
"28011";"Armenonville-les-Gâtineaux"
"28020";"Baignolet"
"28043";"Blévy"
"28063";"Brunelles"
"28112";"Coudreceau"
"28125";"Dampierre-sur-Blévy"
"28145";"Fains-la-Folie"
"28165";"Frétigny"
"28174";"Gâtelles"
"28179";"Germignonville"
"28228";"Mainterne"
"28238";"Marville-les-Bois"
"28258";"Montainville"
"28307";"Prouais"
"28311";"Le Puiset"
"28320";"Rouvray-Saint-Florentin"
"28338";"Saint-Germain-la-Gâtine"
"28361";"Bleury-Saint-Symphorien"
"28376";"Soizé"
"28381";"Tardais"
"28399";"Vacheresses-les-Basses"
"28412";"Villeau"
"28413";"La Ville-aux-Nonains"
"28416";"Villeneuve-Saint-Nicolas"
"28420";"Vitray-sous-Brézolles"
"29052";"Esquibien"
"29083";"Île-de-Sein"
"29084";"Île-Molène"
"29092";"Kernével"
"29127";"Loc-Eguiner-Saint-Thégonnec"
"29129";"Locmaria-Berrien"
"29149";"Milizac"
"29203";"Plounéour-Trez"
"29219";"Le Ponthou"
"31016";"Argut-Dessus"
"31154";"Couledoux"
"31298";"Lez"
"31307";"Lunax"
"32011";"Artiguedieu"
"32074";"Cannet"
"32168";"Labarrère"
"32179";"Lagraulas"
"33107";"Castillon-de-Castets"
"33267";"Marcillac"
"33371";"Saint-Antoine"
"33495";"Salignac"
"34330";"Vérargues"
"35011";"Baillé"
"35048";"Campel"
"35053";"Chancé"
"35074";"Chaumeré"
"35083";"Coglès"
"35100";"Dompierre-du-Chemin"
"35113";"La Fontenelle"
"35147";"Lanhélin"
"35209";"Ossé"
"35254";"Saint-Aubin-du-Pavail"
"35267";"Saint-Étienne-en-Coglès"
"35269";"Saint-Georges-de-Chesné"
"35293";"Saint-Marc-sur-Couesnon"
"35301";"Saint-M'Hervon"
"35303";"Saint-Ouen-la-Rouërie"
"35323";"La Selle-en-Coglès"
"35341";"Tremblay"
"35344";"Tressé"
"35348";"Vendel"
"36039";"Chantôme"
"36072";"Faverolles-en-Berry"
"36151";"Parpeçay"
"36183";"Sainte-Cécile"
"36201";"Saint-Martin-de-Lamps"
"36245";"Villers-les-Ormes"
"37102";"Les Essards"
"37120";"Ingrandes-de-Touraine"
"37135";"Louestault"
"37209";"Saint-Bauld"
"37227";"Saint-Michel-sur-Loire"
"38014";"Arandon"
"38016";"Arzay"
"38021";"Autrans"
"38025";"Balbins"
"38028";"La Bâtie-Divisin"
"38121";"Commelle"
"38125";"Cordéac"
"38145";"Dionay"
"38165";"Fitilieu"
"38262";"Morêtel-de-Mailles"
"38274";"Nantoin"
"38302";"Le Périer"
"38305";"Le Pin"
"38306";"Pinsot"
"38367";"Saint-Bernard"
"38435";"Saint-Pancrasse"
"38534";"Vénosc"
"38541";"Veyrins-Thuellin"
"39005";"Abergement-Saint-Jean"
"39012";"Antorpe"
"39044";"Beauvoisin"
"39064";"Bonnaud"
"39075";"Bréry"
"39115";"Château-des-Prés"
"39186";"Cuttura"
"39195";"Dessia"
"39213";"Esserval-Combe"
"39243";"Froideville"
"39256";"Goux"
"39264";"Grusse"
"39294";"Lézat"
"39340";"Molpré"
"39347";"Montagna-le-Templier"
"39369";"Morval"
"39371";"La Mouille"
